Registro Federal de Establecimientos de Salud

Fecha de creación de la lista: 6 de mayo de 2020 20:33

Filtros aplicados: Tipología: Establecimiento de salud sin internación de diagnóstico y tratamiento; Dependencia: Municipal; Dependencia: Provincial; Tipo de establecimiento: ESTABLECIMIENTO DE SALUD; 

Código;Nombre;Provincia;Dependencia;Tipología;Localidad;Departamento;Domicilio;CP;Teléfono;Categoría de tipología;Origen de financiamiento;Latitud;Longitud
51300212143728;ALBORNOZ ROSANA GRACIELA  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;DIAMANTE;DIAMANTE;BELGRANO Y ALBERDI;3105;null;Laboratorio de Análisis Clínicos;Público;null;null
53260772129793;ALCAIDIA  POLICIAL DE TRELEW;Chubut;Provincial;ESCL;TRELEW;RAWSON;Soberania Nacional N°1350;9100;null;Otros;Público;null;null
51300842143729;ALEGRO EDGARDO RAUL  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;PARANA;PARANÁ;MISIONES 568;3100;null;Laboratorio de Análisis Clínicos;Público;null;null
51300842143730;ALESSO RAUL OSCAR  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;PARANA;PARANÁ;HIPOLITO IRIGOYEN  61;3100;null;Laboratorio de Análisis Clínicos;Público;null;null
51300982143731;ALFARO MARIA DOLORES  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;BASAVILBASO;URUGUAY;RAMIREZ 765;3170;null;Laboratorio de Análisis Clínicos;Público;null;null
50180912139086;ALGARROBO;Corrientes;Provincial;ESSIDT;LAVALLE;LAVALLE;CAMINO VECINAL RUTA PROVINCIAL 27 Y PROVINCIAL 81;3443;null;Con atención médica general por lo menos 3 días de la semana;Público;-29.1833333;-56.65
50420632153057;ALGARROBO DEL AGUILA;La Pampa;Provincial;ESSIDT;ALGARROBO DEL AGUILA;CHICAL CO;SIN NOMBRE S/Nº;6323;02338- 499120;Con guardia permanente;Público;-36.39846;-67.14504
50061612206996;ALTOS DEL CANAL;Buenos Aires;Municipal;ESSIDT;CARMEN DE ARECO;CARMEN DE ARECO;Maipú e/ 25 de Mayo y 9 de Julio;6725;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-34.3721060879943;-59.81313228607178
53064272104175;AMBULANCIA  JEFATURA PROVINCIAL;Buenos Aires;Provincial;ESCL;SAN JUSTO;LA MATANZA;Sin dato;1754;null;Unidades de Atención Móviles;Público;-34.671401;-58.567308000000025
53100492124626;AMBULANCIA MATERNIDAD PROVINCIAL 25 DE MAYO;Catamarca;Provincial;ESCL;CAPITAL;CAPITAL;HERNANDO DE PEDRAZA 1550;4700;null;Sistema de Atención extra hospitalaria;Público;-28.465258;-65.76483969999998
50620422171078;ANEXO HOSPITAL AREA PROGRAMA CIPOLLETTI;Río Negro;Provincial;ESSIDT;CIPOLLETTI;GENERAL ROCA;Fernandez Oro 770;8324;0299-4772947;Con atención médica diaria y con especialidades y/o otras profesiones;Público;null;null
50068262207023;ANEXO HOSPITAL MUNICIPAL DR. ENRIQUE VILBAZO;Buenos Aires;Municipal;ESSIDT;TRENQUE LAUQUEN;TRENQUE LAUQUEN;San Martin esq J.J.Paso;6400;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-35.97450716428196;-62.731032371520996
50181052239087;ANFITEATRO;Corrientes;Municipal;ESSIDT;MERCEDES;MERCEDES;CHACABUCO S/N Y MARIA LUISA PAIZ;3470;03773 - 75493910;Con atención médica general por lo menos 3 días de la semana;Público;-29.1826935;-58.0789719
50181122239088;ANGELITA TAGLIAPIETRA;Corrientes;Municipal;ESSIDT;MOCORETA;MONTE CASEROS;Ruta 14 entre 9 de Julio y V. Itatí;6661;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-30.61368;-57.96386
50180492139206;APS ESTACION MALVINAS;Corrientes;Provincial;ESSIDT;ESQUINA;ESQUINA;IV MALVINAS;3196;null;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-30.0174007;-59.5321617
50380352150528;APS HOSPITAL CALILEGUA (12);Jujuy;Provincial;ESSIDT;CALILEGUA;LEDESMA;SAN LORENZO S/N;4514;03886-420193;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-23.779375592805643;-64.77086305618286
50380282150546;APS HOSPITAL GENERAL BELGRANO (19);Jujuy;Provincial;ESSIDT;HUMAHUACA;HUMAHUACA;SANTA FE 34;4630;null;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-23.201084;-65.35030999999998
50381122150542;APS HOSPITAL JORGE URO (21);Jujuy;Provincial;ESSIDT;LA QUIACA;YAVI;PATRICIAS ARGENTINAS 185;4650;null;Con atención médica general por lo menos 3 días de la semana;Público;-22.1085897;-65.59816409999996
50380632150452;APS HOSPITAL LA MENDIETA (SERVICIO CAPS) (9);Jujuy;Provincial;ESSIDT;LA MENDIETA;SAN PEDRO;LA MENDIETA;4522;null;Con guardia permanente;Público;-24.312330997;-64.97039199799997
50380842150541;APS HOSPITAL NUESTRA SEÑORA DE BELEN (17);Jujuy;Provincial;ESSIDT;SUSQUES;SUSQUES;SUSQUES;4655;03887-490241;Con atención médica general por lo menos 3 días de la semana;Público;-23.401819663637426;-66.36566162109375
50380072150543;APS HOSPITAL NUESTRA SEÑORA DEL ROSARIO - BARRIO CENTRO (20);Jujuy;Provincial;ESSIDT;ABRA PAMPA;COCHINOCA;AVELLANEDA ESQUINA MACEDO;4640;null;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-22.72358419809151;-65.69856405258179
50380702150927;APS HOSPITAL NUESTRA SEÑORA DEL VALLE (15);Jujuy;Provincial;ESSIDT;PALMA SOLA;SANTA BÁRBARA;AVDA. DARDO DOMINGUEZ S/N;4501;03886-496001;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-23.6;-65.06668000000002
50380352150530;APS HOSPITAL PRESBISTERO ESCOLASTICO ZEGADA (10);Jujuy;Provincial;ESSIDT;FRAILE PINTADO;LEDESMA;SENADOR PEREZ S/N°;4506;03886-480145;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-23.945497885395795;-64.80220198631287
50860492192093;APS MOVIL;Santiago del Estero;Provincial;ESCL;SANTIAGO DEL ESTERO;CAPITAL;Avenida Belgrano Sur 2050;4200;4504445;Unidades de Atención Móviles;Público;-27.8032183;-64.24990739999998
50141052232138;APS MUNICIPAL;Córdoba;Municipal;ESSIDT;SANTA ROSA DE RÍO PRIMERO (EST. VILLA SANTA ROSA);RÍO PRIMERO;Velez Sarfield Esq. R. S. Peña;5133;03574-481250;Con atención médica general por lo menos 3 días de la semana;Público;-31.328712654911683;-63.620452880859375
50420982153058;AQUILES REGAZZOLI;La Pampa;Provincial;ESSIDT;LOVENTUE;LOVENTUÉ;SIN NOMBRE S/Nº;6317;02954510017;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-36.19091;-65.29201
50420492153059;ARBOL DE LA ESPERANZA;La Pampa;Provincial;ESSIDT;ÁRBOL DE LA ESPERANZA;CHALILEO;SIN NOMBRE S/Nº;6323;0295415469024;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-36.52729481454623;-67.412109375
50420492153060;ARBOL SOLO;La Pampa;Provincial;ESSIDT;ARBOL SOLO;CHALILEO;SIN NOMBRE S/Nº;6323;02338-493093;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-36.672282;-66.482729
50300842142491;AREA DE ATENCION SANITARIA CENTRO INTEGRADOR COMUNITARIO (CIC) MARIA GRANDE;Entre Ríos;Municipal;ESSIDT;MARIA GRANDE;PARANÁ;PRESIDENTE JUAN DOMINGO PERON 604;3111;0343 - 4940030;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.7438944;-60.52520229999999
50064412117026;AREA DE SANIDAD DE UNIDAD PENITENCIARIA N° 9;Buenos Aires;Provincial;ESSIDT;LA PLATA;LA PLATA;Calle 76 e/ 9 y 11;1900;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-34.93719709265217;-57.92747497558594
50064122201060;AREA PROG. Y OPERAC. DE EMERG. SOCIAL Y SANIT;Buenos Aires;Municipal;ESSIDT;JOSE C. PAZ;JOSÉ C. PAZ;HIPOLITO IRIGOYEN  2945;1665;02320-440511 INT 24;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-34.524246;-58.763799000000006
50141402232265;AREA SALUD CLUB SAN JORGE;Córdoba;Municipal;ESSIDT;MORTEROS;SAN JUSTO;BV. 9 DE JULIO 992;2421;(03562) 42-2109;Con atención médica general por lo menos 3 días de la semana;Público;-30.712276;-62.006831000000034
50420352153116;ARGENTINO RODARO;La Pampa;Provincial;ESSIDT;RUCANELO;CONHELO;BULLEVARD SAN MARTIN SIN NUMERO;6381;(02334) 45-3478;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-36.0427933;-64.83489989999998
50181612139089;ARROYO GONZALEZ;Corrientes;Provincial;ESSIDT;SAN ROQUE;SAN ROQUE;ZONA RURAL, A 8 KM DE RUTA 12, POR CAMINO VECINAL;3448;null;Con atención médica general por lo menos 3 días de la semana;Público;-28.5746822;-58.7091255
51180422139524;ARROYO PELON;Corrientes;Provincial;ESSIDT;EMPEDRADO;EMPEDRADO;RUTA 6, FRENTE A ESC. 50, PJE. ARROYO PELON;3418;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-29.214771;-58.325807999999995
50141402231377;ASISTENCIA MUNICIPAL DR. ATILIO TULA SORIA;Córdoba;Municipal;ESSIDT;SACANTA;SAN JUSTO;BELGRANO 709;5945;03533-492360;Con atención médica general por lo menos 3 días de la semana;Público;-31.662938;-63.045950000000005
50300492142144;ASISTENCIA PUBLICA;Entre Ríos;Municipal;ESSIDT;GUALEGUAY;GUALEGUAY;ALFREDO PALACIOS 101;2840;03446-423210;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-33.145633;-59.31520739999996
50141822231712;ASISTENCIA PUBLICA DR. ARMANDO LEONELLI;Córdoba;Municipal;ESSIDT;BELL VILLE;UNIÓN;CORDOBA 185;2550;(03534) 42-5357;Con atención médica general por lo menos 3 días de la semana;Público;-32.629718;-62.687893900000006
50140422232365;ASISTENCIA PUBLICA MUNICIPAL;Córdoba;Municipal;ESSIDT;VILLA MARIA;GENERAL SAN MARTÍN;Lisandro de la Torre Y Catamarca;5900;0353-4533343;Con atención médica general por lo menos 3 días de la semana;Público;-32.41547229239037;-63.24271202087402
50300152142145;ASISTENCIA PUBLICA MUNICIPAL - DIRECCION DE ESPECIALIDADES MEDICAS;Entre Ríos;Municipal;ESSIDT;CONCORDIA;CONCORDIA;25 de Mayo 902;3200;0345-4212820;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.3917473;-58.02083329999999
50141402231801;ASISTENCIA PUBLICA MUNICIPAL DE SAN FRANCISCO;Córdoba;Municipal;ESSIDT;SAN FRANCISCO;SAN JUSTO;COLON 163;2400;(03564) 15-56-1726;Con atención médica general por lo menos 3 días de la semana;Público;-31.4275045;-62.0879109
50067842201061;ASOCIACION CIVIL COMUNITARIA SUIPACHA PARA TODOS;Buenos Aires;Municipal;ESSIDT;SUIPACHA;SUIPACHA;Ruta Provincial 43 550;6612;02324-480995;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-34.7691088;-59.68423029999997
50065682201063;ATENCION PRIMARIA BARRIO MARINA;Buenos Aires;Municipal;ESSIDT;CASTELAR;MORÓN;LACARRA 3535;1712;011-46925398;null;Público;-34.6833247406838;-58.66423273089822
50181052239090;AXEL VERON;Corrientes;Municipal;ESSIDT;MERCEDES;MERCEDES;Bº JOSE MA. GOMEZ CALLE MATIAS PIPET;3470;03773 -15417557;Con atención médica general por lo menos 3 días de la semana;Público;-29.1826935;-58.0789719
53100492124754;BANCO CENTRAL DE SANGRE;Catamarca;Provincial;ESCL;SAN FERNANDO DEL VALLE DE CATAMARCA;CAPITAL;Pasaje Roberto Gray Nº 500;4700;null;Bancos de Sangre;Público;-28.244395171325095;-65.58834671974182
50900842196895;BANCO CENTRAL DE SANGRE - SIPROSA;Tucumán;Provincial;ESSIDT;SAN MIGUEL DE TUCUMAN;CAPITAL;Avenida Mitre 236;4000;0381-4311841;Con guardia permanente;Público;-26.8248851;-65.21776410000001
53140142134291;BANCO CENTRAL DE SANGRE DE LA PROVINCIA DE CORDOBA;Córdoba;Provincial;ESCL;CORDOBA;CAPITAL;Rosario de Santa Fe 374;5000;null;Bancos de Sangre;Público;-31.4175117;-64.1791427
53740562180463;BANCO CENTRAL DE SANGRE DE LA PROVINCIA DE SAN LUIS;San Luis;Provincial;ESCL;SAN LUIS;LA CAPITAL;Heroes de Malvinas 110;5700;2664452010 INT 250;Bancos de Sangre;Público;-33.2959423;-66.31791699999997
50100492124589;BANCO DE SANGRE;Catamarca;Provincial;ESCL;SAN FERNANDO DEL VALLE DE CATAMARCA;CAPITAL;H DE PEDRZA Nº 1480;4700;null;Bancos de Sangre;Público;-28.46519216005776;-65.76383829116821
53180212139494;BANCO DE SANGRE CENTRAL;Corrientes;Provincial;ESCL;CORRIENTES;CAPITAL;Córdoba 1452;3400;03794-431200;Bancos de Sangre;Público;-27.4739754;-58.83516640000005
51300152143715;BANCO DE SANGRE CONCORDIA SRL;Entre Ríos;Provincial;ESSID;CONCORDIA;CONCORDIA;CONCEJAL VEIGA 660;3200;null;Laboratorio de Análisis Clínicos;Público;null;null
50540282165207;BANCO DE SANGRE TEJIDOS Y BIOLOGICOS;Misiones;Provincial;ESSID;POSADAS (MUNICIPIO DE POSADAS);CAPITAL;Avenida Lopez TORRES 1177;3300;0376-4447102;Laboratorio de Análisis Clínicos;Público;-27.3908234;-55.893436399999985
53860492193469;BANCO PROVINCIAL DE DROGAS ONCOLOGICAS;Santiago del Estero;Provincial;ESCL;ABRA GRANDE;CAPITAL;Belgrano Sur 2269;4200;03854214622;Otros;Público;null;null
50181682239095;BARRIO 202;Corrientes;Municipal;ESSIDT;GOBERNADOR IGR.VALENTIN VIRASORO;SANTO TOMÉ;JULIO ARGENTINO ROCA ENTRE MANUEL OCAMPO Y LAG. BRAVA;3342;03756-481619/481933;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-28.03683429693012;-55.998687744140625
50180842240170;BARRIO CHACRA 7 BERNARDINO VALLE;Corrientes;Municipal;ESSIDT;ITUZAINGO;ITUZAINGÓ;B° CHACRA 7 SANTA FE y ROQUE SAENZ PEÑA;3302;03758499016;Con atención médica general por lo menos 3 días de la semana;Público;-27.58857;-56.69756000000001
50180282239091;BARRIO DE 16 DE JULIO;Corrientes;Municipal;ESSIDT;TABAY;CONCEPCIÓN;BARRIO DE 16 DE JULIO;3421;null;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-28.317295;-58.28235999999998
50064832201064;BARRIO HIPODROMO SALON CAPILLA;Buenos Aires;Municipal;ESSIDT;EMPALME LOBOS;LOBOS;REPUBLICA E INDEPENDENCIA BARRIO HIPODROMO;7249;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-35.17757838467473;-59.108095407518704
50180702139094;BARRIO ITATI (GOYA);Corrientes;Provincial;ESSIDT;GOYA;GOYA;Osiris Gonzales 824;3450;(03777) 43-2457;Con atención médica general por lo menos 3 días de la semana;Público;-29.148225;-59.26117999999997
50421332153061;BARRIO NORTE;La Pampa;Provincial;ESSIDT;REALICO;REALICÓ;MITRE 1108;6200;02331- 460132;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-35.0329339;-64.2437271
50181052239092;BARRIO POMPEYA;Corrientes;Municipal;ESSIDT;MERCEDES;MERCEDES;Bº POMPEYA;3470;03773-15400748;Con atención médica general por lo menos 3 días de la semana;Público;-29.1826935;-58.0789719
50180282239093;BARRIO SAN PANTALEON;Corrientes;Municipal;ESSIDT;TABAY;CONCEPCIÓN;Bº SAN PANTALEON;3421;null;Con atención médica general por lo menos 3 días de la semana;Público;-28.31767997196544;-58.26873779296875
51300842143717;BIOQUIMICOS ASOCIADOS SA;Entre Ríos;Provincial;ESSID;PARANA;PARANÁ;COLON 122;3100;3434310783;Laboratorio de Análisis Clínicos;Público;null;null
51300982143732;BRACCO JOSE LUIS LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;CONCEPCION DEL URUGUAY;URUGUAY;GENERAL GALARZA 1082;3260;null;Laboratorio de Análisis Clínicos;Público;null;null
50180702139099;BUENA VISTA;Corrientes;Provincial;ESSIDT;GOYA;GOYA;RUTA 12;3450;null;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-29.431511;-59.290232
50220142227283;C I C GENERAL VEDIA;Chaco;Municipal;ESSIDT;GENERAL VEDIA;BERMEJO;EXPLORADOR SORIA S/N;3522;0362 4 072123;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-26.93129;-58.657159999999976
50062602201068;C.A.M.I.P.E.E.;Buenos Aires;Municipal;ESSIDT;MONTE GRANDE;ESTEBAN ECHEVERRÍA;INDEPENDENCIA 556;1842;011-4290-9317;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-34.8094694212139;-58.46417427062988
50300152142306;C.A.P.S  MARIA MARTINA B. DE CAMINAL;Entre Ríos;Provincial;ESSIDT;CONCORDIA;CONCORDIA;CARLOS PELLEGRINI 780;3200;0345-4225137;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.3947195;-58.01614710000001
50620282170492;C.A.P.S 14 DE OCTUBRE;Río Negro;Provincial;ESSIDT;GENERAL CONESA;CONESA;14 de Octubre Nº 353 - Barrio 20 viviendas;8503;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-40.096373;-64.46560399999998
50540282164007;C.A.P.S N° 32 ITAEMBE MINI;Misiones;Provincial;ESSIDT;POSADAS (MUNICIPIO DE POSADAS);CAPITAL;Avenida 147 y Avenida 170;3300;(03764) 459-5511;Con guardia permanente;Público;-27.4141651;-55.95611450000001
50540212164090;C.A.P.S Nº 2 ANSELMO;Misiones;Provincial;ESSIDT;CANDELARIA;CANDELARIA;Barrio Anselmo Manzana L calle Nº 7 viviendas del Iprodha;3308;3764232952;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-27.4549117;-55.733002
50540282164004;C.A.P.S SAN BENITO;Misiones;Provincial;ESSIDT;POSADAS (MUNICIPIO DE POSADAS);CAPITAL;Calle 135 CASI ANDRESITO CHACRA Nº247;3300;376-44597759;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-27.3925378;-55.9467477
50300492142395;C.A.P.S.   17 DE OCTUBRE;Entre Ríos;Provincial;ESSIDT;GUALEGUAY;GUALEGUAY;CONTINUACION 2 DE ABRIL 800 - BARRIO 17 DE OCTUBRE;2840;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-32.026706293336126;-58.7109375
50300982142160;C.A.P.S.   ALICIA MOREAU DE JUSTO;Entre Ríos;Provincial;ESSIDT;VILLA SAN JUSTO;URUGUAY;9 DE JULIO 222;3262;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-32.445808;-58.43551200000002
50300842142165;C.A.P.S.   ANTARTIDA ARGENTINA;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;BURMESTEIN Y EL RESERO - BARRIO A. ARGENTINA;3100;0343-4273041;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.7314157458119;-60.553293228149414
50300842142501;C.A.P.S.   ANTONINI;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;CABO MONZON 3095 Y CARLOS MOSTO;3100;03434350736;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.750758981204992;-60.53140640258789
50300842142228;C.A.P.S.   DR. CARLOS REYNOSO;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;QUINQUELA MARTIN ENTRE GLIA Y TARVA - BARRIO LOMAS DEL MIRADOR;3100;03443 - 4244002;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.752255176347134;-60.486087799072266
50300842142236;C.A.P.S.   DR. GERMAN RICO;Entre Ríos;Provincial;ESSIDT;MARIA GRANDE;PARANÁ;CARLOS LOPEZ S/Nº;3111;0343- 4940201;Con atención médica general por lo menos 3 días de la semana;Público;-32.69486597787506;-58.88671875
50300842142453;C.A.P.S.   DR. HUMBERTO DANGELO;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;LUIS PALMA Y LOS CHANAS - BARRIO ANACLETO MEDINA SUR;3100;03434372228;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.744591482583026;-60.55455923080444
50300842142242;C.A.P.S.   DR. JOSE ALCAIN;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;TEZANOS PINTOS S/N - BARRIO SAN ROQUE (E/ LOS CONSTITUYENTES Y AYACUCHO);3100;(03443) - 4244008;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.7293;-60.50218000000001
50300152142359;C.A.P.S.   DR. MARCELO MARELLI;Entre Ríos;Provincial;ESSIDT;LA CRIOLLA;CONCORDIA;RIO NEGRO S/N°;3212;0345-490094;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-32.54681317351514;-59.501953125
50300842142156;C.A.P.S.   EL BRETE;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;MONSEÑOR DOBLER S/N°;3100;0343- 4330969;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.7323;-60.50739999999996
50300842142257;C.A.P.S.   EL CHARRUA;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;JOSE MURGA Y JOSE SERI Nº 365 Y 440 - BARRIO LAS ROSAS;3100;03434365440;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.7566;-60.468999999999994
50300842142272;C.A.P.S.   HERMANA CATALINA;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;ISLAS DE IBICUY Nº 30 (BARRIO AATRA III);3100;03434330969;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.741443108059798;-60.48602150804072
50300842142303;C.A.P.S.   MALVINAS ARGENTINAS;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;CHACHO PEÑALOZA Y PEATONAL 1200 (BARRIO PNA XV);3100;03434240107;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.74494;-60.493240000000014
50300082142485;C.A.P.S.   MEDALLA MILAGROSA;Entre Ríos;Provincial;ESSIDT;COLON;COLÓN;GONZALEZ 306;3280;03447-437356;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-32.2320556;-58.1437037
50300842142333;C.A.P.S.   PAGANI;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;J. M. PEREZ Nº 1296 Y GASPAR BENAVENTO - BARRIO PAGANI;3100;03443 - 4399869;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.744044051614775;-60.49917697906494
50300842142344;C.A.P.S.   PUERTO VIEJO;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;AVENIDA ESTRADA Y CAMINO DE SANTIAGO - BARRIO PUERTO VIEJO;3100;03434219089;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.71495;-60.54111999999998
50300842142365;C.A.P.S.   SANTA LUCIA;Entre Ríos;Provincial;ESSIDT;PARANA;PARANÁ;ALICIA MOREU DE JUSTO S/Nº Y CAMERANO - Bº SANTA LUCIA;3100;03434350826;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-31.76867;-60.519360000000006
