Código,Nombre,Provincia,Dependencia,Tipología,Localidad,Departamento,Barrio,Domicilio,CP,Tipo de teléfono,Teléfono,Mail,Categoría de tipología,Responsable,Origen de financiamiento,GLN
50140982231451,CENTRO DE SALUD MUNICIPAL DE TOSQUITA,Córdoba,Municipal,ESSIDT,TOSQUITAS,RÍO CUARTO,null,21 DE JUNIO 408,6141,Directo,O3583-492054,municipalidad-detosquita@hotmail.com,Con atención médica general por lo menos 3 días de la semana,"Galindez, Mariana Karina",Público,null
50140982231458,CENTRO DE SALUD MUNICIPAL MONTE DE LOS GAUCHOS,Córdoba,Municipal,ESSIDT,MONTE DE LOS GAUCHOS,RÍO CUARTO,null,SAN MARTIN 191,5839,Directo,03585-492137,hospitalmdlg@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,Gabriela Alejandra Aimar,Público,null
50140982231939,CENTRO DE SALUD Nş 13,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,PASAJE CABILDO DE LA CONCEPCION 650,5800,Directo,0358-4671111,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231947,CENTRO DE SALUD Nş 5,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,PASAJE CABILDO DE LA CONCEPCION 650,5800,Directo,0358-4671111,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231949,CENTRO DE SALUD Nş 6,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,PASAJE CABILDO DE LA CONCEPCION 650,5800,Directo,0358-4671111,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
51140982334181,CENTRO DE TRAUMATOLOGIA Y ARTROSCOPIA PRIVADO SRL,Córdoba,Privado,ESSID,RIO CUARTO,RÍO CUARTO,null,Buenos Aires 659,5800,Administración,0358 4647100,null,Diagnostico por Imágenes,"Sommariva Odone, Luis",Privado,null
52140982335005,CENTRO EDUCATIVO TERAPEUTICO CON INTEGRACION ESCOLAR Y CENTRO DE DIA KALEN,Córdoba,Privado,ESSIT,RIO CUARTO,RÍO CUARTO,null,PAUL HARRIS 829,5800,Tel/Fax,0358-4750109,kalen@hotmail.com.ar,Centro educativo terapéutico,"DR. SACCHETTO, DIEGO EMILIANO",Privado,null
50140982334941,CENTRO FLEBOLOGICO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,HIPOLITO YRIGOYEN 849,5800,Tel/Fax,0358-4645405,rmarzari@yahoo.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,"DR. ALONSO, LUIS",Privado,null
51140982334180,CENTRO IMAGO SA PRIVADO,Córdoba,Privado,ESSID,RIO CUARTO,RÍO CUARTO,null,Pedernera 459,5800,Administración,0358-4620273,null,Diagnostico por Imágenes,Pablo Hernán Medina,Privado,null
50140982334281,CENTRO INSTITUTO INTEGRAL DE REHABILITACION APADIM,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,RIOJA 179,5800,Tel/Fax,0358-4625792,apadim_riocuarto@yahoo.com,Con atención médica diaria y con especialidades y/o otras profesiones,NESTOR OSVALDO GANDARA,Privado,null
50140982334797,CENTRO MEDICO ASPURC,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,VELEZ SARSFIELD 448,5800,Tel/Fax,0358-476-8200,aspurc@aspurc.org.ar,Con atención médica diaria y con especialidades y/o otras profesiones,"DRA. NICOLA, MARISA ANDREA",Privado,null
50140982334708,CENTRO MEDICO CIENTIFICO PRIVADO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ALVEAR 1339,5800,Tel/Fax,0358-4642445,laboratoriooscarbrarda@yahoo.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Oscar Alberto Brarda,Privado,null
50140982334743,CENTRO MEDICO DE ALTO RENDIMIENTO S.A.,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,HIPOLITO YRIGOYEN 1071,5800,Tel/Fax,0358-4636474,administracion@carsaludable.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,"DR. BOSCO, GUSTAVO MIGUEL",Privado,null
50140982333366,CENTRO MEDICO DE LA CLINICA REGIONAL DEL SUD S.A,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ALVEAR 1244,5800,Tel/Fax,0358-4679500,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Bossio, Juan José",Privado,null
50140982334779,CENTRO MEDICO DE SALUD OCUPACIONAL,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ALBERDI 638,5800,Administración,4620932,null,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Jorge Adrian Mercau,Privado,null
50140982334301,CENTRO MEDICO FEMEP,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ALVEAR 1076,5800,Administración,0358-4630085,m_e_porta@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Dra. Porta, Maria Emilia",Privado,null
50140982334980,CENTRO MEDICO HUMANE PRIVADO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Buenos Aires 542,5800,Administración,0358-4645604,null,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Bordese Fernando Javier,Privado,null
50140982333595,CENTRO MEDICO INTEGRAL DE SALUD OCUPACIONAL Y MEDICINA LEGAL,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ALBERDI 638,5800,Tel/Fax,0358-4620932,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Mercau, Jorge",Privado,null
50140982334806,CENTRO MEDICO PRIVADO ALUMBRAR,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ESPAŃA 350,5800,Tel/Fax,0358-4642705,mutualalumbrar@luzyfuerzariocuarto.org,Con atención médica diaria y con especialidades y/o otras profesiones,DR. CARLOS MARCELO MELAPPIONI,Privado,null
50140982334194,CENTRO MEDICO PRIVADO DAVERLEY,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,COLON 471,5800,Administración,0358-4640447,null,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Miguel Angel Mugnaini,Privado,null
50140982333489,CENTRO MEDICO PRIVADO DEL NIŃO Y LA FAMILIA,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ALVEAR 834,5800,Tel/Fax,0358-4623916,null,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Hugo Javier Sanabria,Privado,null
50140982334827,CENTRO MEDICO PRIVADO GASTROMED,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,RIOJA 252,5800,Tel/Fax,0358-4621517,null,Con atención médica diaria y con especialidades y/o otras profesiones,"DR. ROTH, ALDO LUIS",Privado,null
10140982331084,CENTRO MEDICO PRIVADO NAZARETH,Córdoba,Privado,ESCIG,VICUŃA MACKENNA,RÍO CUARTO,null,AVENIDA RICARDO RISATTI 504,6140,Conmutador,03583-420046,clinazareth@gmail.com,Bajo riesgo con internación simple,"Casas, Eduardo Manuel",Privado,null
50140982333134,CENTRO MEDICO PRIVADO SAN SEBASTIAN,Córdoba,Privado,ESSIDT,ELENA,RÍO CUARTO,null,ROCA 43,5815,Directo,0358-4881460,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. García, Victor Hugo",Privado,null
50140982334628,CENTRO MEDICO SALUS,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,MENDOZA 954,5800,Tel/Fax,0358-4630304,info@policlinicosanlucas.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,MIGUEL ANGEL MUGNAINI,Privado,null
50140982334828,CENTRO MEDICO VILLA DALCAR PRIVADO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,WENCESLAO TEJERINO NORTE 241,5800,Tel/Fax,0358-4643654,centro-villadalcar@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,DR. ZANLUGO,Privado,null
50140982334807,CENTRO OFTALMOLOGICO PRIVADO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,BUENOS AIRES 659,5800,Administración,0358-4647197,null,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Lukasiewics Enrique Rodolfo,Privado,null
50140982231937,CENTRO PERIFERICO N° 1 DE RIO CUARTO,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,BELISARIO ROLDAN 540,5800,Directo,0358-4671284,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231941,CENTRO PERIFERICO N° 2 DE RIO CUARTO,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,GRAL. JOSE GARIBALDI 198,5800,Directo,0358-4671285,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231943,CENTRO PERIFERICO N° 3 DE RIO CUARTO,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,RIOJA 1800,5800,Directo,0358-4671286,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231951,CENTRO PERIFERICO N° 7,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,PASO DE LOS ANDES 1225,5800,Directo,0358-4753450,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231694,CENTRO PERIFERICO Nş 10,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,SAN LUIS 350,5800,Directo,0358-4671293,null,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231698,CENTRO PERIFERICO Nş 11,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Adelia Maria y Malabia - Barrio Alberdi,5800,Directo,0358-4671294,null,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231700,CENTRO PERIFERICO Nş 12,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,DINKELDEIN 3300,5800,Directo,0358-4671295,null,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231702,CENTRO PERIFERICO Nş 14,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,LAGUNA LEUVUCO 3505,5800,Directo,0358-4671394,null,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231933,CENTRO PERIFERICO Nş 15,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,17 de Octubre y Pasaje Público,5800,Directo,0358-4671442,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231955,CENTRO PERIFERICO Nş 16,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,VENEZUELA 814,5800,Directo,0358-4672515,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231935,CENTRO PERIFERICO Nş 8,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Iguazú s/n Barrio El Acordeón,5800,Directo,0358-4671291,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140982231953,CENTRO PERIFERICO Nş 9,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Ignacio Pirovano 340 entre Vicente López y Andrade Barrio Alberdi,5800,Directo,0358-4671292,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
50140142334638,CENTRO PRIVADO CON APOYO ESCOLAR RUCAHUE,Córdoba,Privado,ESSIDT,CORDOBA,CAPITAL,null,Amadeo Ayacucho 5894,5000,Directo,03543-421670,fundacionrucahue@gmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Lic. Blanco, Silvana Andrea",Privado,null
52140982334310,CENTRO PRIVADO DE RADIOTERAPIA RIO CUARTO S.A.,Córdoba,Privado,ESSIT,RIO CUARTO,RÍO CUARTO,null,General Paz 1556,5800,Administración,0358-4648062,info@radioterapia-rio4.com.ar,Centro tratamientos oncológicos,"Dr. Sar, Jorge Alejandro",Privado,null
50140982335082,CENTRO QUIRURGICO VITHAS,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Constitución 1021,5800,Administración,0358-4650486,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Fossati, Fernando Antonio",Privado,null
50140982334741,CENTRO REHABILITACION NEUROLOGICA NUEVA VIDA,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,SAN LORENZO 932,5800,Tel/Fax,0358-4645886,cnuevavida@yahoo.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Acuńa, Marcos Edgardo",Privado,null
50140982331484,CLINICA DE OJOS PRIVADA NUEVA VISION RIO CUARTO S.R.L,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,LAMADRID 685,3615,Directo,0358-422907,null,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Zabalo Eduardo Domingo,Privado,null
50140982334993,CLINICA OFTALMOLOGICA OFTALMOS S.R.L.,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,DEAN FUNES 458,5800,Conmutador,0800-555-5525,administracion@oftalmosriocuarto.com,Con atención médica diaria y con especialidades y/o otras profesiones,"DR. JAULE, CARLOS FABIAN",Privado,null
10140982331090,CLINICA PRIVADA DE MEDICINA ESPECIALIZADA PHILIPPE PINEL S A,Córdoba,Privado,ESCIG,RIO CUARTO,RÍO CUARTO,null,GUATEMALA 150,5800,Conmutador,03586-4622107,null,Bajo riesgo con internación simple,Dr. Juan Pablo Vedia,Privado,null
10140982331144,CLINICA REGIONAL DEL SUD,Córdoba,Privado,ESCIG,RIO CUARTO,RÍO CUARTO,null,Avenida Italia 1262,5800,Conmutador,0358-4679500,info@clinicaregionaldelsud.com,Alto riesgo con terapia intensiva,"Dr. Bossio,Juan José",Privado,null
50140982334744,CONSULTORIOS JUNTOS,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,MORENO 1044,5800,Directo,0358-154167520,cintiamusso@live.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,"Lic. Sarandón, Maria Esther",Privado,null
51140982334197,DIAGNOSTICOS SRL PRIVADO,Córdoba,Privado,ESSID,RIO CUARTO,RÍO CUARTO,null,Cabrera 1627,5800,Administración,0358-4628541,diagnostico_srl@hoymail.com,Diagnostico por Imágenes,Dr. Daniel Oscar Di Giorgio,Privado,null
50140982231660,DISPENSARIO COMUNAL EL POTOSI,Córdoba,Municipal,ESSIDT,LA CAROLINA,RÍO CUARTO,null,Av. Belgrano S/Nş,5841,Conmutador,(0358) 480-1017/08,null,Con atención médica general por lo menos 3 días de la semana,Eduardo Alberto Muńoz,Público,null
50140982231515,DISPENSARIO LAS PEŃAS SUD,Córdoba,Municipal,ESSIDT,LAS PEŃAS,RÍO CUARTO,null,AVENIDA 22 DE OCTUBRE Y 9 DE JULIO,5819,Directo,0353-4879020,nestor_pasero@hotmail.com,Sin atención médica en forma periódica (menor a 3 veces por semana),Pedro Luis Gómez Palacios,Público,null
50140982231962,DISPENSARIO MUNICIPAL (SUCO),Córdoba,Municipal,ESSIDT,SUCO,RÍO CUARTO,null,18 DE OCTUBRE 180,5837,Directo,03582-491006,comunadesuco@yahoo.com.ar,Con atención médica general por lo menos 3 días de la semana,Dr. Carlos Luis Acha,Público,null
50140982232132,DISPENSARIO MUNICIPAL ACHIRAS,Córdoba,Municipal,ESSIDT,ACHIRAS,RÍO CUARTO,null,Cabrera y 9 de Julio,5833,Directo,(03582) 49-5019/49-5249,muni_achiras@bulnes.com.ar,Con atención médica general por lo menos 3 días de la semana,Dr.Fernandez Carlos,Público,null
50140982231728,DISPENSARIO MUNICIPAL BULNES,Córdoba,Municipal,ESSIDT,BULNES,RÍO CUARTO,null,SARMIENTO 245,5845,Directo,(03582) 49-4191,dispensario_bul@bulnes.com.ar,Con atención médica general por lo menos 3 días de la semana,"Dr. Avanzini, Guillermo",Público,null
50140562231688,DISPENSARIO MUNICIPAL CARNERILLO,Córdoba,Municipal,ESSIDT,CARNERILLO,JUÁREZ CELMAN,null,FAUCHER 173,5805,Directo,3584883023,municipcarnerillo@carenrillo.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,MATIAS ALEJANDRO SGRAZZUTTI,Público,null
50140982231521,DISPENSARIO MUNICIPAL CHAJAN,Córdoba,Municipal,ESSIDT,CHAJAN,RÍO CUARTO,null,BOLIVAR Y MENDOZA,5837,Directo,(03582) 49-2024,dispensariochajan@hotmail.com,Con atención médica general por lo menos 3 días de la semana,Dr. Carlos Luis Acha,Público,null
50140982231656,DISPENSARIO MUNICIPAL CHUCUL,Córdoba,Municipal,ESSIDT,CHUCUL,RÍO CUARTO,null,Francisco Ferreyra S/Nş,5805,Directo,(0358) 491-2005,comunadechucul@hotmail.com.ar,Con atención médica general por lo menos 3 días de la semana,José Oscar Cappone,Público,null
50140982231730,DISPENSARIO MUNICIPAL DE ALPA CORRAL ( DR CORIA ),Córdoba,Municipal,ESSIDT,ALPA CORRAL,RÍO CUARTO,null,Los ligustros,5801,Directo,0358-488828,null,Con atención médica general por lo menos 3 días de la semana,ANTONIO LEONARDO CESAR BEVAQUA,Público,null
50140982231526,DISPENSARIO MUNICIPAL DE CORONEL BAIGORRIA,Córdoba,Municipal,ESSIDT,CORONEL BAIGORRIA,RÍO CUARTO,null,GRAL. PAZ 275,5811,Directo,0358-4882041,dispensariobaigorria@hotmail.com,Con atención médica general por lo menos 3 días de la semana,Anuar Faiad,Público,null
50140982231957,DISPENSARIO MUNICIPAL SAN BASILIO,Córdoba,Municipal,ESSIDT,SAN BASILIO,RÍO CUARTO,null,R. COEGO 144,5841,Directo,03585-491010,munitel1@sanbasilio.com.ar,Con atención médica general por lo menos 3 días de la semana,TAMARA GISELE RODRIGUEZ,Público,null
50140982231945,DISPENSARIO Nş 4,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,PASAJE CABILDO DE LA CONCEPCION 650,5800,Directo,0358-4671111,mrlvintendencia@arnet.com.ar,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
15140982332960,EDEN RESIDENCIA GERIATRICA PRIVADA,Córdoba,Privado,ESCIETE,ADELIA MARIA,RÍO CUARTO,null,ALEM 238,5843,Directo,03585-420258,null,Bajo riesgo con internación simple,Enrique Jorge Gomez,Privado,null
53140982334936,EMERGENCIA PRIVADA AMOR Y PAZ,Córdoba,Privado,ESCL,RIO CUARTO,RÍO CUARTO,null,JUAN B. JUSTO 242,5800,Tel/Fax,(0358) 463-0823,autorizacionesamorypaz@hotmail.com,Sistema de Atención extra hospitalaria,"DR. BRAVO, RUBEN IGNACIO",Privado,null
50140982333555,EMERGENCIAS RIO CUARTO SRL - CENTRO MEDICO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,HIPOLITO YRIGOYEN 739,5800,Tel/Fax,0358-4622900,alejandrovallejo@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Vallejo, Alejandro Eduardo",Privado,null
